timestamp,zone_id,ambient_light_lux,motion_detected,temperature_celsius,occupancy_count,day_of_week,time_of_day,weather_condition,special_event_flag,energy_price_per_kwh,prev_hour_energy_usage_kwh,traffic_density,avg_pedestrian_speed,adjusted_light_intensity,energy_consumption_kwh,lighting_action_class
2024-01-03 00:54:00,2,242.03,0,20.91,6,Wednesday,Night,Clear,0,4.58,0.55,20.4,0.9,76.98,1.489,1
2024-01-03 01:38:00,12,109.76,1,27.7,12,Wednesday,Night,Rainy,0,5.61,3.26,29.4,2.8,88.83,2.19,1
2024-01-03 02:22:00,11,0.0,0,26.34,5,Wednesday,Night,Rainy,0,5.51,6.16,22.3,2.75,84.46,1.964,1
2024-01-03 03:06:00,6,415.42,0,27.42,10,Wednesday,Night,Clear,0,5.49,0.48,6.2,2.67,80.27,1.888,1
2024-01-03 03:50:00,8,312.43,0,20.03,3,Wednesday,Night,Clear,0,5.11,5.83,16.3,2.53,36.74,0.872,2
2024-01-03 04:33:00,10,722.26,1,15.52,20,Wednesday,Night,Clear,0,6.71,2.33,31.4,3.13,81.76,1.998,1
2024-01-03 05:17:00,3,0.0,0,20.48,3,Wednesday,Night,Cloudy,0,7.78,4.02,22.1,3.67,98.67,2.137,1
2024-01-03 06:01:00,5,5597.74,0,19.86,3,Wednesday,Morning,Clear,0,6.01,1.75,19.5,3.05,51.38,0.888,0
2024-01-03 06:45:00,9,8043.13,0,24.91,3,Wednesday,Morning,Clear,0,5.85,5.36,11.0,2.17,35.99,0.579,0
2024-01-03 07:29:00,2,6298.69,0,16.64,9,Wednesday,Morning,Clear,0,6.02,2.08,27.2,4.07,42.61,0.954,0
2024-01-03 08:12:00,3,8943.39,0,29.59,5,Wednesday,Morning,Cloudy,0,7.15,2.87,39.6,2.4,43.14,0.592,0
2024-01-03 08:56:00,2,5139.99,1,21.73,12,Wednesday,Morning,Clear,0,6.11,1.15,25.2,3.83,91.5,2.25,1
2024-01-03 09:40:00,2,11210.86,1,27.27,18,Wednesday,Morning,Cloudy,0,5.02,3.61,32.3,1.02,90.13,2.363,1
2024-01-03 10:24:00,4,7190.05,0,19.57,7,Wednesday,Morning,Clear,0,5.72,3.21,26.9,4.17,37.03,0.832,0
2024-01-03 11:08:00,6,7060.16,1,32.82,17,Wednesday,Morning,Foggy,0,3.94,2.29,30.3,4.9,81.43,1.856,1
2024-01-03 11:51:00,10,7292.7,0,17.86,5,Wednesday,Morning,Rainy,0,6.08,2.05,27.3,1.98,72.68,1.493,1
2024-01-03 12:35:00,1,3984.98,0,31.46,4,Wednesday,Afternoon,Clear,0,4.15,1.69,20.6,2.78,42.23,1.096,0
2024-01-03 13:19:00,9,9446.64,0,23.82,4,Wednesday,Afternoon,Clear,0,5.19,2.27,25.3,3.79,42.34,0.931,0
2024-01-03 14:03:00,12,7403.43,0,24.37,7,Wednesday,Afternoon,Clear,0,4.38,4.55,26.4,3.23,44.37,1.02,0
2024-01-03 14:47:00,2,4999.14,1,21.12,22,Wednesday,Afternoon,Clear,0,5.33,6.44,40.7,2.4,94.1,2.518,1
2024-01-03 15:30:00,7,3886.49,0,27.62,14,Wednesday,Afternoon,Rainy,0,4.79,2.78,19.5,1.09,93.43,2.105,1
2024-01-03 16:14:00,4,6047.43,0,24.1,2,Wednesday,Afternoon,Cloudy,0,3.21,4.15,16.7,2.39,34.54,0.548,2
2024-01-03 16:58:00,4,7963.3,0,22.48,5,Wednesday,Afternoon,Clear,0,3.0,4.22,12.7,2.97,46.28,0.765,0
2024-01-03 17:42:00,12,4278.81,1,26.16,10,Wednesday,Evening,Clear,0,3.28,0.87,20.9,2.31,47.7,1.572,0
2024-01-03 18:26:00,6,259.45,0,27.52,10,Wednesday,Evening,Clear,0,3.65,6.02,30.5,4.13,88.32,1.747,1
2024-01-03 19:09:00,10,161.95,1,21.6,8,Wednesday,Evening,Clear,1,3.0,4.28,19.3,2.24,88.68,2.2,1
2024-01-03 19:53:00,8,0.0,0,28.68,3,Wednesday,Evening,Clear,0,3.44,3.15,2.9,3.23,82.7,1.876,1
2024-01-03 20:37:00,10,98.49,1,28.95,15,Wednesday,Evening,Clear,0,4.42,1.97,30.5,3.69,86.51,1.946,1
2024-01-03 21:21:00,3,0.0,0,29.0,1,Wednesday,Night,Foggy,0,3.68,0.26,1.3,3.67,84.59,1.825,1
2024-01-03 22:05:00,4,18.04,0,25.34,3,Wednesday,Night,Rainy,0,4.15,0.96,24.1,2.87,93.19,1.616,1
2024-01-03 22:48:00,12,0.0,0,27.98,12,Wednesday,Night,Cloudy,0,4.33,3.48,29.2,2.06,99.32,2.6,1
2024-01-03 23:32:00,4,388.93,0,35.2,6,Wednesday,Night,Clear,0,3.09,3.05,28.1,3.68,28.07,0.45,2
2024-01-04 00:16:00,4,187.77,0,33.86,6,Thursday,Night,Clear,0,3.33,1.1,26.3,2.3,87.03,2.145,1
2024-01-04 01:00:00,9,220.02,0,35.37,4,Thursday,Night,Foggy,0,5.76,0.0,29.4,3.58,88.35,1.987,1
2024-01-04 01:44:00,7,0.0,0,30.56,15,Thursday,Night,Rainy,0,4.64,4.4,30.7,0.89,89.32,1.78,1
2024-01-04 02:27:00,10,218.86,1,29.82,17,Thursday,Night,Clear,0,6.16,4.15,38.0,2.6,91.56,2.22,1
2024-01-04 03:11:00,8,178.16,1,30.99,8,Thursday,Night,Clear,0,5.71,0.85,18.6,4.03,97.2,2.18,1
2024-01-04 03:55:00,7,6.59,0,20.74,12,Thursday,Night,Cloudy,0,6.03,3.66,33.1,4.0,88.77,1.603,1
2024-01-04 04:39:00,4,0.0,0,29.69,4,Thursday,Night,Cloudy,0,6.59,2.16,14.0,2.19,93.34,1.996,1
2024-01-04 05:23:00,10,173.79,0,18.66,7,Thursday,Night,Rainy,0,6.22,2.03,14.5,0.0,71.5,1.73,1
2024-01-04 06:06:00,7,5785.77,0,23.04,9,Thursday,Morning,Rainy,0,6.54,3.22,23.5,0.8,85.74,2.142,1
2024-01-04 06:50:00,7,6651.37,0,24.56,14,Thursday,Morning,Rainy,0,7.57,4.74,19.0,1.06,91.54,2.452,1
2024-01-04 07:34:00,12,6402.83,1,27.95,7,Thursday,Morning,Clear,0,6.4,1.81,11.2,2.91,86.04,1.8,1
2024-01-04 08:18:00,7,4474.74,1,17.21,23,Thursday,Morning,Cloudy,0,5.02,2.57,37.9,5.13,81.33,2.021,1
2024-01-04 09:02:00,2,7975.21,0,18.87,11,Thursday,Morning,Clear,0,7.07,4.91,22.8,3.14,96.26,2.438,1
2024-01-04 09:46:00,11,8365.28,1,17.92,6,Thursday,Morning,Foggy,0,6.61,6.27,3.0,3.43,75.07,1.55,1
2024-01-04 10:29:00,4,7943.73,1,19.57,13,Thursday,Morning,Cloudy,0,4.93,0.05,16.2,4.82,86.15,1.828,1
2024-01-04 11:13:00,5,4318.63,0,22.32,8,Thursday,Morning,Clear,0,5.04,0.0,38.9,3.29,47.01,1.286,0
2024-01-04 11:57:00,4,5678.94,0,21.45,3,Thursday,Morning,Rainy,0,6.54,3.16,11.8,4.75,89.65,1.769,1
2024-01-04 12:41:00,2,4192.89,0,34.42,13,Thursday,Afternoon,Clear,0,4.58,4.07,32.5,3.75,27.99,0.559,0
2024-01-04 13:25:00,1,8886.07,0,27.87,4,Thursday,Afternoon,Clear,0,5.88,2.92,19.7,5.38,48.04,0.815,0
2024-01-04 14:08:00,6,6206.37,0,32.47,16,Thursday,Afternoon,Clear,0,5.1,4.02,31.7,5.06,43.88,0.822,0
2024-01-04 14:52:00,9,6598.45,0,36.36,3,Thursday,Afternoon,Clear,0,3.99,0.77,26.7,4.58,88.79,1.774,1
2024-01-04 15:36:00,7,7879.33,0,20.62,3,Thursday,Afternoon,Cloudy,0,4.76,0.0,15.8,1.94,46.59,1.285,0
2024-01-04 16:20:00,12,7702.56,0,26.1,2,Thursday,Afternoon,Rainy,0,3.0,0.28,3.3,0.68,48.21,0.924,0
2024-01-04 17:04:00,9,5357.82,0,33.04,3,Thursday,Evening,Clear,0,3.0,3.41,17.9,3.82,56.68,1.013,0
2024-01-04 17:47:00,10,8099.99,0,29.74,11,Thursday,Evening,Rainy,0,3.89,2.79,23.5,1.23,76.82,1.267,1
2024-01-04 18:31:00,2,0.0,0,11.58,9,Thursday,Evening,Cloudy,0,3.02,1.44,18.8,2.28,92.48,2.202,1
2024-01-04 19:15:00,1,131.01,1,16.87,12,Thursday,Evening,Clear,0,3.0,4.53,22.5,2.68,96.85,1.956,1
2024-01-04 19:59:00,4,63.49,1,27.14,5,Thursday,Evening,Cloudy,0,3.0,1.15,16.4,3.38,95.5,1.952,1
2024-01-04 20:43:00,2,0.0,1,24.93,15,Thursday,Evening,Clear,0,3.5,0.0,42.2,0.41,80.08,1.78,1
2024-01-04 21:26:00,4,0.0,0,25.74,7,Thursday,Night,Clear,0,4.29,1.89,5.5,3.06,69.79,1.663,1
2024-01-04 22:10:00,5,0.0,0,25.64,4,Thursday,Night,Rainy,0,3.75,0.0,0.0,1.52,92.37,1.943,1
2024-01-04 22:54:00,8,0.0,1,19.55,14,Thursday,Night,Clear,0,5.07,0.0,29.9,3.19,81.42,1.416,1
2024-01-04 23:38:00,7,0.0,0,23.38,10,Thursday,Night,Rainy,0,4.68,2.02,22.8,2.04,94.36,1.872,1
2024-01-05 00:22:00,2,15.75,0,20.62,4,Friday,Night,Clear,0,4.2,2.49,23.5,2.82,100.0,1.827,1
2024-01-05 01:05:00,5,0.0,1,24.6,13,Friday,Night,Cloudy,0,6.88,1.78,26.9,3.45,73.55,1.838,1
2024-01-05 01:49:00,4,0.0,0,31.62,6,Friday,Night,Clear,0,5.62,3.77,11.3,2.25,97.81,2.057,1
2024-01-05 02:33:00,4,287.37,0,20.99,5,Friday,Night,Foggy,0,7.08,0.0,23.2,3.79,78.56,1.732,1
2024-01-05 03:17:00,8,78.92,0,24.29,8,Friday,Night,Cloudy,0,6.07,3.77,17.8,2.77,75.44,1.652,1
2024-01-05 04:01:00,7,399.69,0,19.28,7,Friday,Night,Clear,0,5.85,0.0,13.9,2.39,75.27,1.396,0
2024-01-05 04:44:00,9,204.45,0,30.31,3,Friday,Night,Clear,0,5.59,4.35,19.8,1.26,76.92,1.648,1
2024-01-05 05:28:00,7,316.02,1,26.56,20,Friday,Night,Cloudy,0,7.13,0.61,41.6,2.77,95.47,2.171,1
2024-01-05 06:12:00,5,4922.0,0,29.82,9,Friday,Morning,Rainy,0,7.04,3.62,24.9,1.91,86.3,1.903,1
2024-01-05 06:56:00,5,5501.86,0,21.81,13,Friday,Morning,Clear,1,7.55,0.0,35.5,2.63,89.85,1.932,1
2024-01-05 07:40:00,8,7623.18,1,28.3,9,Friday,Morning,Cloudy,0,6.02,4.28,21.6,3.26,87.98,1.962,1
2024-01-05 08:23:00,1,8654.17,0,15.63,9,Friday,Morning,Clear,0,6.36,3.36,24.0,2.57,41.04,0.947,0
2024-01-05 09:07:00,1,7758.82,1,27.43,14,Friday,Morning,Clear,0,5.07,5.71,32.0,2.17,90.53,1.563,1
2024-01-05 09:51:00,10,7369.77,1,18.04,12,Friday,Morning,Cloudy,0,4.83,4.01,32.3,4.12,52.06,1.149,0
2024-01-05 10:35:00,9,6675.07,0,23.04,3,Friday,Morning,Cloudy,0,5.36,5.57,13.5,2.35,43.33,0.843,0
2024-01-05 11:19:00,9,7572.04,0,28.19,2,Friday,Morning,Clear,0,4.47,2.06,3.9,3.45,30.18,0.754,2
2024-01-05 12:02:00,5,6091.18,0,32.36,3,Friday,Afternoon,Foggy,0,5.01,1.38,20.1,4.37,84.1,1.945,1
2024-01-05 12:46:00,11,4618.84,0,29.38,6,Friday,Afternoon,Clear,0,4.71,2.24,7.0,3.65,35.98,0.787,0
2024-01-05 13:30:00,11,6451.99,0,27.91,6,Friday,Afternoon,Clear,0,4.57,0.51,30.3,3.4,62.0,1.164,0
2024-01-05 14:14:00,9,5516.92,0,32.83,2,Friday,Afternoon,Clear,0,4.29,2.21,17.6,3.51,36.5,1.097,2
2024-01-05 14:58:00,7,7423.63,0,33.66,7,Friday,Afternoon,Clear,0,4.22,1.34,20.1,4.11,51.85,0.882,0
2024-01-05 15:41:00,2,5088.42,1,37.09,11,Friday,Afternoon,Clear,0,4.28,3.71,25.6,5.82,45.64,0.888,0
2024-01-05 16:25:00,7,3550.85,0,22.94,19,Friday,Afternoon,Rainy,0,3.52,4.9,41.6,4.72,43.45,1.018,0
2024-01-05 17:09:00,9,7164.89,1,27.09,6,Friday,Evening,Rainy,0,3.0,3.3,5.9,3.7,73.13,1.542,1
2024-01-05 17:53:00,8,8645.04,1,24.63,17,Friday,Evening,Clear,0,3.0,3.41,25.0,0.71,43.84,0.818,0
2024-01-05 18:37:00,11,0.0,1,29.71,11,Friday,Evening,Clear,0,4.51,3.86,22.3,2.04,70.01,1.189,1
2024-01-05 19:20:00,10,178.1,0,22.99,4,Friday,Evening,Clear,0,5.08,0.58,30.9,3.08,92.66,2.136,1
2024-01-05 20:04:00,11,0.0,1,27.74,10,Friday,Evening,Clear,0,4.92,4.41,29.8,3.81,94.32,2.205,1
2024-01-05 20:48:00,12,29.42,1,18.39,13,Friday,Evening,Foggy,0,3.95,4.38,30.3,2.5,78.06,1.367,1
2024-01-05 21:32:00,2,243.37,0,18.8,11,Friday,Night,Clear,0,3.0,5.42,30.2,4.9,79.67,1.562,1
2024-01-05 22:16:00,8,16.94,1,17.94,10,Friday,Night,Cloudy,0,4.36,3.15,20.4,1.45,72.35,1.672,1
2024-01-05 22:59:00,12,0.0,0,28.55,5,Friday,Night,Cloudy,0,3.0,6.9,15.8,3.86,77.11,1.752,1
2024-01-05 23:43:00,2,0.0,0,21.8,6,Friday,Night,Clear,0,4.95,6.19,25.8,2.73,84.16,1.934,1
2024-01-06 00:27:00,8,323.78,0,16.1,5,Saturday,Night,Clear,0,3.7,2.74,17.8,2.89,43.61,0.685,2
2024-01-06 01:11:00,10,17.62,0,19.68,7,Saturday,Night,Clear,0,5.37,4.53,22.4,3.0,87.18,2.07,1
2024-01-06 01:55:00,9,0.0,0,33.35,3,Saturday,Night,Rainy,0,5.43,1.86,8.3,2.29,97.87,2.372,1
2024-01-06 02:39:00,8,191.96,0,29.5,9,Saturday,Night,Cloudy,0,6.08,1.99,35.3,3.17,90.91,1.885,1
2024-01-06 03:22:00,2,0.0,0,27.75,6,Saturday,Night,Rainy,0,7.22,0.0,21.1,1.02,83.23,1.676,1
2024-01-06 04:06:00,4,100.85,0,27.13,8,Saturday,Night,Clear,0,7.57,4.25,16.6,2.69,89.44,1.899,1
2024-01-06 04:50:00,2,113.8,0,21.73,7,Saturday,Night,Clear,0,6.28,4.38,30.2,2.72,89.66,1.722,1
2024-01-06 05:34:00,9,817.33,0,19.2,4,Saturday,Night,Clear,0,6.74,3.21,22.2,2.29,44.67,0.775,0
2024-01-06 06:18:00,8,9763.46,0,20.78,15,Saturday,Morning,Rainy,0,6.76,0.95,31.8,1.51,29.39,0.706,0
2024-01-06 07:01:00,6,5391.16,0,24.91,6,Saturday,Morning,Rainy,0,6.76,0.61,11.1,2.84,88.29,1.868,1
2024-01-06 07:45:00,2,12508.66,0,26.39,11,Saturday,Morning,Foggy,0,6.23,2.09,11.1,2.4,72.71,1.866,1
2024-01-06 08:29:00,3,6505.72,1,16.84,8,Saturday,Morning,Clear,0,6.06,3.1,32.9,2.75,54.74,1.309,0
2024-01-06 09:13:00,6,7064.59,0,43.15,12,Saturday,Morning,Cloudy,0,6.16,0.5,29.5,1.35,32.01,0.876,0
2024-01-06 09:57:00,3,76116.09999999999,1,5.890000000000001,100,Saturday,Morning,Cloudy,0,6.75,0.2,23.8,3.66,89.95,2.21,1
2024-01-06 10:40:00,3,6371.57,0,25.23,3,Saturday,Morning,Clear,0,5.33,3.14,22.6,3.59,39.47,1.15,0
2024-01-06 11:24:00,10,6177.39,0,20.61,16,Saturday,Morning,Clear,0,4.94,0.0,36.5,4.69,30.31,0.577,0
2024-01-06 12:08:00,4,8580.5,0,16.61,6,Saturday,Afternoon,Clear,0,6.19,5.27,8.1,3.02,41.83,0.888,0
2024-01-06 12:52:00,3,4234.12,0,25.72,3,Saturday,Afternoon,Clear,0,5.2,0.93,35.2,2.24,45.0,0.639,0
2024-01-06 13:36:00,12,6342.06,0,31.57,7,Saturday,Afternoon,Clear,0,6.09,1.55,15.6,3.87,48.36,1.109,0
2024-01-06 14:19:00,7,7847.29,0,29.12,12,Saturday,Afternoon,Rainy,0,4.2,0.84,25.9,0.39,89.39,2.061,1
2024-01-06 15:03:00,8,9048.37,0,23.91,11,Saturday,Afternoon,Cloudy,0,3.37,0.1,19.2,2.91,52.45,1.304,0
2024-01-06 15:47:00,10,6490.16,0,32.67,2,Saturday,Afternoon,Rainy,0,3.18,2.32,8.2,1.89,42.5,1.138,0
2024-01-06 16:31:00,2,7414.66,0,36.05,13,Saturday,Afternoon,Clear,0,3.0,3.77,21.2,4.01,45.11,1.303,0
2024-01-06 17:15:00,4,7046.28,1,18.32,10,Saturday,Evening,Clear,0,3.16,2.51,23.5,4.26,80.24,1.938,1
2024-01-06 17:58:00,12,8334.44,0,23.35,9,Saturday,Evening,Cloudy,0,3.37,3.36,24.8,2.73,50.16,0.923,0
2024-01-06 18:42:00,11,347.88,1,21.56,13,Saturday,Evening,Clear,0,3.56,4.11,42.5,2.15,98.1,2.193,1
2024-01-06 19:26:00,9,0.0,1,29.28,10,Saturday,Evening,Cloudy,0,5.23,3.12,24.9,4.54,86.89,1.772,1
2024-01-06 20:10:00,12,0.0,1,43.26,18,Saturday,Evening,Rainy,0,3.5,0.16,29.1,2.38,76.77,1.753,1
2024-01-06 20:54:00,11,0.0,1,19.99,10,Saturday,Evening,Rainy,0,3.0,1.3,16.0,3.39,85.89,2.029,1
2024-01-06 21:37:00,4,583.88,0,36.58,5,Saturday,Night,Cloudy,0,3.02,3.21,28.1,1.75,44.52,0.428,0
2024-01-06 22:21:00,11,0.0,0,27.06,1,Saturday,Night,Cloudy,0,3.26,2.61,19.0,2.63,88.05,1.818,1
2024-01-06 23:05:00,11,0.0,0,23.51,3,Saturday,Night,Clear,0,3.84,0.98,14.3,2.5,76.24,1.742,1
2024-01-06 23:49:00,12,179.59,1,24.84,11,Saturday,Night,Clear,0,5.44,4.35,29.2,3.41,75.18,1.583,1
